cik,company_name,symbol,original_security
0000755001,UNITIL CORP,UTL,Unitil Corporation
0000016732,CAMPBELL'S Co,CPB,Campbell's Company (The)
0001175454,"CORPAY, INC.",CPAY,Corpay
0000018926,"Lumen Technologies, Inc.",LUMN,Lumen Technologies
0000048287,HNI CORP,HNI,HNI Corporation
0001408198,MSCI Inc.,MSCI,MSCI Inc.
0001327567,Palo Alto Networks Inc,PANW,Palo Alto Networks
0001754301,Fox Corp,FOX,Fox Corporation (Class B)
0000916365,TRACTOR SUPPLY CO /DE/,TSCO,Tractor Supply
0000910108,LXP Industrial Trust,LXP,Lexington Realty Trust
0000076334,Parker-Hannifin Corp,PH,Parker Hannifin
0000836157,LINDSAY CORP,LNN,Lindsay Corporation
0001056288,"FEDERATED HERMES, INC.",FHI,Federated Hermes
0000021344,COCA COLA CO,KO,Coca-Cola Company (The)
0000860730,"HCA Healthcare, Inc.",HCA,HCA Healthcare
0001125376,"ENSIGN GROUP, INC",ENSG,Ensign Group
0000277509,FEDERAL SIGNAL CORP /DE/,FSS,Federal Signal Corporation
0001597033,Sabre Corp,SABR,Sabre
0001703056,ADT Inc.,ADT,ADT
0000052988,JACOBS SOLUTIONS INC.,J,Jacobs Solutions
0001490906,"Capitol Federal Financial, Inc.",CFFN,Capitol Federal Savings Bank
0001037540,"BXP, Inc.",BXP,"BXP, Inc."
0001701605,Baker Hughes Co,BKR,Baker Hughes
0000036966,FIRST HORIZON CORP,FHN,First Horizon
0000080420,POWELL INDUSTRIES INC,POWL,"Powell Industries, Inc."
0000313616,DANAHER CORP /DE/,DHR,Danaher Corporation
0000067215,DYCOM INDUSTRIES INC,DY,"Dycom Industries, Inc."
0001053507,AMERICAN TOWER CORP /MA/,AMT,American Tower
0001525769,"Dave & Buster's Entertainment, Inc.",PLAY,"Dave & Buster's Entertainment, Inc."
0000876167,PROGRESS SOFTWARE CORP /MA,PRGS,Progress Software Corporation
0001658566,Permian Resources Corp,PR,Permian Resources
0001438133,TANDEM DIABETES CARE INC,TNDM,Tandem Diabetes Care
0000029905,DOVER Corp,DOV,Dover Corporation
0001157408,"Stride, Inc.",LRN,"Stride, Inc."
0002005951,Smurfit Westrock plc,SW,Smurfit Westrock
0001341766,"Celsius Holdings, Inc.",CELH,Celsius Holdings
0001590560,uniQure N.V.,QURE,uniQure N.V.
0001275014,"Ultra Clean Holdings, Inc.",UCTT,"Ultra Clean Holdings, Inc."
0001359841,Hanesbrands Inc.,HBI,"Hanesbrands, Inc."
